timestamp,message,logStreamName
1725806276398,"2024/09/08 14:37:56 Read from DynamoDB table executed in 1474 ms
",2024/09/08/[$LATEST]7abf60c22a9247cd8181ad0e3ed01b66
1725806276460,"2024/09/08 14:37:56 Read from DynamoDB table executed in 1460 ms
",2024/09/08/[$LATEST]cbca40341ba44f828247b06b11246ed6
1725806277279,"2024/09/08 14:37:57 Read from DynamoDB table executed in 3 ms
",2024/09/08/[$LATEST]7abf60c22a9247cd8181ad0e3ed01b66
1725806277308,"2024/09/08 14:37:57 Read from DynamoDB table executed in 2 ms
",2024/09/08/[$LATEST]cbca40341ba44f828247b06b11246ed6
1725806277695,"2024/09/08 14:37:57 Read from DynamoDB table executed in 2 ms
",2024/09/08/[$LATEST]cbca40341ba44f828247b06b11246ed6
1725806277702,"2024/09/08 14:37:57 Read from DynamoDB table executed in 2 ms
",2024/09/08/[$LATEST]7abf60c22a9247cd8181ad0e3ed01b66
1725806278047,"2024/09/08 14:37:58 Read from DynamoDB table executed in 3 ms
",2024/09/08/[$LATEST]7abf60c22a9247cd8181ad0e3ed01b66
1725806278051,"2024/09/08 14:37:58 Read from DynamoDB table executed in 2 ms
",2024/09/08/[$LATEST]cbca40341ba44f828247b06b11246ed6
1725806278350,"2024/09/08 14:37:58 Read from DynamoDB table executed in 1 ms
",2024/09/08/[$LATEST]cbca40341ba44f828247b06b11246ed6
1725806278369,"2024/09/08 14:37:58 Read from DynamoDB table executed in 3 ms
",2024/09/08/[$LATEST]7abf60c22a9247cd8181ad0e3ed01b66
1725806278883,"2024/09/08 14:37:58 Read from DynamoDB table executed in 3 ms
",2024/09/08/[$LATEST]7abf60c22a9247cd8181ad0e3ed01b66
1725806278893,"2024/09/08 14:37:58 Read from DynamoDB table executed in 3 ms
",2024/09/08/[$LATEST]cbca40341ba44f828247b06b11246ed6
1725806279944,"2024/09/08 14:37:59 Read from DynamoDB table executed in 2 ms
",2024/09/08/[$LATEST]cbca40341ba44f828247b06b11246ed6
1725806279946,"2024/09/08 14:37:59 Read from DynamoDB table executed in 1 ms
",2024/09/08/[$LATEST]7abf60c22a9247cd8181ad0e3ed01b66
1725806280903,"2024/09/08 14:38:00 Read from DynamoDB table executed in 3 ms
",2024/09/08/[$LATEST]cbca40341ba44f828247b06b11246ed6
1725806280905,"2024/09/08 14:38:00 Read from DynamoDB table executed in 3 ms
",2024/09/08/[$LATEST]7abf60c22a9247cd8181ad0e3ed01b66
1725806281868,"2024/09/08 14:38:01 Read from DynamoDB table executed in 2 ms
",2024/09/08/[$LATEST]cbca40341ba44f828247b06b11246ed6
1725806281891,"2024/09/08 14:38:01 Read from DynamoDB table executed in 3 ms
",2024/09/08/[$LATEST]7abf60c22a9247cd8181ad0e3ed01b66
1725806282929,"2024/09/08 14:38:02 Read from DynamoDB table executed in 2 ms
",2024/09/08/[$LATEST]7abf60c22a9247cd8181ad0e3ed01b66
1725806282930,"2024/09/08 14:38:02 Read from DynamoDB table executed in 2 ms
",2024/09/08/[$LATEST]cbca40341ba44f828247b06b11246ed6
1725806283933,"2024/09/08 14:38:03 Read from DynamoDB table executed in 1 ms
",2024/09/08/[$LATEST]cbca40341ba44f828247b06b11246ed6
1725806283949,"2024/09/08 14:38:03 Read from DynamoDB table executed in 3 ms
",2024/09/08/[$LATEST]7abf60c22a9247cd8181ad0e3ed01b66
1725806284967,"2024/09/08 14:38:04 Read from DynamoDB table executed in 4 ms
",2024/09/08/[$LATEST]7abf60c22a9247cd8181ad0e3ed01b66
1725806284967,"2024/09/08 14:38:04 Read from DynamoDB table executed in 2 ms
",2024/09/08/[$LATEST]cbca40341ba44f828247b06b11246ed6
1725806285909,"2024/09/08 14:38:05 Read from DynamoDB table executed in 3 ms
",2024/09/08/[$LATEST]cbca40341ba44f828247b06b11246ed6
1725806285915,"2024/09/08 14:38:05 Read from DynamoDB table executed in 2 ms
",2024/09/08/[$LATEST]7abf60c22a9247cd8181ad0e3ed01b66
1725806286876,"2024/09/08 14:38:06 Read from DynamoDB table executed in 3 ms
",2024/09/08/[$LATEST]7abf60c22a9247cd8181ad0e3ed01b66
1725806286885,"2024/09/08 14:38:06 Read from DynamoDB table executed in 2 ms
",2024/09/08/[$LATEST]cbca40341ba44f828247b06b11246ed6
1725806287918,"2024/09/08 14:38:07 Read from DynamoDB table executed in 3 ms
",2024/09/08/[$LATEST]cbca40341ba44f828247b06b11246ed6
1725806287945,"2024/09/08 14:38:07 Read from DynamoDB table executed in 1 ms
",2024/09/08/[$LATEST]cbca40341ba44f828247b06b11246ed6
1725806288913,"2024/09/08 14:38:08 Read from DynamoDB table executed in 4 ms
",2024/09/08/[$LATEST]cbca40341ba44f828247b06b11246ed6
1725806288938,"2024/09/08 14:38:08 Read from DynamoDB table executed in 3 ms
",2024/09/08/[$LATEST]7abf60c22a9247cd8181ad0e3ed01b66
1725806289923,"2024/09/08 14:38:09 Read from DynamoDB table executed in 2 ms
",2024/09/08/[$LATEST]7abf60c22a9247cd8181ad0e3ed01b66
1725806289932,"2024/09/08 14:38:09 Read from DynamoDB table executed in 2 ms
",2024/09/08/[$LATEST]cbca40341ba44f828247b06b11246ed6
1725806290861,"2024/09/08 14:38:10 Read from DynamoDB table executed in 2 ms
",2024/09/08/[$LATEST]cbca40341ba44f828247b06b11246ed6
1725806290869,"2024/09/08 14:38:10 Read from DynamoDB table executed in 3 ms
",2024/09/08/[$LATEST]7abf60c22a9247cd8181ad0e3ed01b66
1725806291916,"2024/09/08 14:38:11 Read from DynamoDB table executed in 1 ms
",2024/09/08/[$LATEST]7abf60c22a9247cd8181ad0e3ed01b66
1725806292910,"2024/09/08 14:38:12 Read from DynamoDB table executed in 2 ms
",2024/09/08/[$LATEST]7abf60c22a9247cd8181ad0e3ed01b66
1725806293316,"2024/09/08 14:38:13 Read from DynamoDB table executed in 3 ms
",2024/09/08/[$LATEST]cbca40341ba44f828247b06b11246ed6
1725806293316,"2024/09/08 14:38:13 Read from DynamoDB table executed in 1 ms
",2024/09/08/[$LATEST]7abf60c22a9247cd8181ad0e3ed01b66
1725806293970,"2024/09/08 14:38:13 Read from DynamoDB table executed in 1 ms
",2024/09/08/[$LATEST]7abf60c22a9247cd8181ad0e3ed01b66
1725806293987,"2024/09/08 14:38:13 Read from DynamoDB table executed in 2 ms
",2024/09/08/[$LATEST]cbca40341ba44f828247b06b11246ed6
1725806294929,"2024/09/08 14:38:14 Read from DynamoDB table executed in 1 ms
",2024/09/08/[$LATEST]cbca40341ba44f828247b06b11246ed6
1725806294930,"2024/09/08 14:38:14 Read from DynamoDB table executed in 3 ms
",2024/09/08/[$LATEST]7abf60c22a9247cd8181ad0e3ed01b66
1725806295918,"2024/09/08 14:38:15 Read from DynamoDB table executed in 2 ms
",2024/09/08/[$LATEST]7abf60c22a9247cd8181ad0e3ed01b66
1725806295922,"2024/09/08 14:38:15 Read from DynamoDB table executed in 1 ms
",2024/09/08/[$LATEST]cbca40341ba44f828247b06b11246ed6
1725806296910,"2024/09/08 14:38:16 Read from DynamoDB table executed in 2 ms
",2024/09/08/[$LATEST]7abf60c22a9247cd8181ad0e3ed01b66
1725806296940,"2024/09/08 14:38:16 Read from DynamoDB table executed in 29 ms
",2024/09/08/[$LATEST]cbca40341ba44f828247b06b11246ed6
1725806297883,"2024/09/08 14:38:17 Read from DynamoDB table executed in 2 ms
",2024/09/08/[$LATEST]cbca40341ba44f828247b06b11246ed6
1725806297885,"2024/09/08 14:38:17 Read from DynamoDB table executed in 1 ms
",2024/09/08/[$LATEST]7abf60c22a9247cd8181ad0e3ed01b66
1725806298871,"2024/09/08 14:38:18 Read from DynamoDB table executed in 3 ms
",2024/09/08/[$LATEST]cbca40341ba44f828247b06b11246ed6
