timestamp,message,logStreamName
1725806276870,"2024/09/08 14:37:56 hello world function executed in 410 ms
",2024/09/08/[$LATEST]cbca40341ba44f828247b06b11246ed6
1725806276903,"2024/09/08 14:37:56 hello world function executed in 504 ms
",2024/09/08/[$LATEST]7abf60c22a9247cd8181ad0e3ed01b66
1725806277331,"2024/09/08 14:37:57 hello world function executed in 52 ms
",2024/09/08/[$LATEST]7abf60c22a9247cd8181ad0e3ed01b66
1725806277371,"2024/09/08 14:37:57 hello world function executed in 63 ms
",2024/09/08/[$LATEST]cbca40341ba44f828247b06b11246ed6
1725806277719,"2024/09/08 14:37:57 hello world function executed in 17 ms
",2024/09/08/[$LATEST]7abf60c22a9247cd8181ad0e3ed01b66
1725806277719,"2024/09/08 14:37:57 hello world function executed in 24 ms
",2024/09/08/[$LATEST]cbca40341ba44f828247b06b11246ed6
1725806278066,"2024/09/08 14:37:58 hello world function executed in 19 ms
",2024/09/08/[$LATEST]7abf60c22a9247cd8181ad0e3ed01b66
1725806278069,"2024/09/08 14:37:58 hello world function executed in 18 ms
",2024/09/08/[$LATEST]cbca40341ba44f828247b06b11246ed6
1725806278374,"2024/09/08 14:37:58 hello world function executed in 25 ms
",2024/09/08/[$LATEST]cbca40341ba44f828247b06b11246ed6
1725806278384,"2024/09/08 14:37:58 hello world function executed in 15 ms
",2024/09/08/[$LATEST]7abf60c22a9247cd8181ad0e3ed01b66
1725806278902,"2024/09/08 14:37:58 hello world function executed in 18 ms
",2024/09/08/[$LATEST]7abf60c22a9247cd8181ad0e3ed01b66
1725806278909,"2024/09/08 14:37:58 hello world function executed in 15 ms
",2024/09/08/[$LATEST]cbca40341ba44f828247b06b11246ed6
1725806279961,"2024/09/08 14:37:59 hello world function executed in 17 ms
",2024/09/08/[$LATEST]cbca40341ba44f828247b06b11246ed6
1725806279966,"2024/09/08 14:37:59 hello world function executed in 20 ms
",2024/09/08/[$LATEST]7abf60c22a9247cd8181ad0e3ed01b66
1725806280925,"2024/09/08 14:38:00 hello world function executed in 20 ms
",2024/09/08/[$LATEST]7abf60c22a9247cd8181ad0e3ed01b66
1725806280954,"2024/09/08 14:38:00 hello world function executed in 51 ms
",2024/09/08/[$LATEST]cbca40341ba44f828247b06b11246ed6
1725806281893,"2024/09/08 14:38:01 hello world function executed in 25 ms
",2024/09/08/[$LATEST]cbca40341ba44f828247b06b11246ed6
1725806281911,"2024/09/08 14:38:01 hello world function executed in 20 ms
",2024/09/08/[$LATEST]7abf60c22a9247cd8181ad0e3ed01b66
1725806282947,"2024/09/08 14:38:02 hello world function executed in 18 ms
",2024/09/08/[$LATEST]7abf60c22a9247cd8181ad0e3ed01b66
1725806282950,"2024/09/08 14:38:02 hello world function executed in 20 ms
",2024/09/08/[$LATEST]cbca40341ba44f828247b06b11246ed6
1725806283957,"2024/09/08 14:38:03 hello world function executed in 24 ms
",2024/09/08/[$LATEST]cbca40341ba44f828247b06b11246ed6
1725806283974,"2024/09/08 14:38:03 hello world function executed in 25 ms
",2024/09/08/[$LATEST]7abf60c22a9247cd8181ad0e3ed01b66
1725806284985,"2024/09/08 14:38:04 hello world function executed in 18 ms
",2024/09/08/[$LATEST]7abf60c22a9247cd8181ad0e3ed01b66
1725806284992,"2024/09/08 14:38:04 hello world function executed in 25 ms
",2024/09/08/[$LATEST]cbca40341ba44f828247b06b11246ed6
