timestamp,message,logStreamName
1724852849749,"Read from DynamoDB table executed in 2197 ms
",2024/08/28/[$LATEST]4d55ce9d7ff84db09270351c5a7b0fcd
1724853822292,"Read from DynamoDB table executed in 2119 ms
",2024/08/28/[$LATEST]65bff5be3fac474e851d4a46f90826fe
1725804297395,"Read from DynamoDB table executed in 2137 ms
",2024/09/08/[$LATEST]b99ef126f8d240dfb4e8f0fe5dde9f26
1725804297398,"Read from DynamoDB table executed in 2138 ms
",2024/09/08/[$LATEST]59a505b33094462ab99d7fec51bb6024
1725804298549,"Read from DynamoDB table executed in 7 ms
",2024/09/08/[$LATEST]59a505b33094462ab99d7fec51bb6024
1725804298550,"Read from DynamoDB table executed in 7 ms
",2024/09/08/[$LATEST]b99ef126f8d240dfb4e8f0fe5dde9f26
1725804299068,"Read from DynamoDB table executed in 7 ms
",2024/09/08/[$LATEST]59a505b33094462ab99d7fec51bb6024
1725804299073,"Read from DynamoDB table executed in 6 ms
",2024/09/08/[$LATEST]b99ef126f8d240dfb4e8f0fe5dde9f26
1725804299512,"Read from DynamoDB table executed in 6 ms
",2024/09/08/[$LATEST]59a505b33094462ab99d7fec51bb6024
1725804299515,"Read from DynamoDB table executed in 6 ms
",2024/09/08/[$LATEST]b99ef126f8d240dfb4e8f0fe5dde9f26
1725804299980,"Read from DynamoDB table executed in 6 ms
",2024/09/08/[$LATEST]59a505b33094462ab99d7fec51bb6024
1725804299993,"Read from DynamoDB table executed in 17 ms
",2024/09/08/[$LATEST]b99ef126f8d240dfb4e8f0fe5dde9f26
1725804300507,"Read from DynamoDB table executed in 7 ms
",2024/09/08/[$LATEST]b99ef126f8d240dfb4e8f0fe5dde9f26
1725804300511,"Read from DynamoDB table executed in 5 ms
",2024/09/08/[$LATEST]59a505b33094462ab99d7fec51bb6024
1725804300875,"Read from DynamoDB table executed in 6 ms
",2024/09/08/[$LATEST]b99ef126f8d240dfb4e8f0fe5dde9f26
1725804300876,"Read from DynamoDB table executed in 6 ms
",2024/09/08/[$LATEST]59a505b33094462ab99d7fec51bb6024
1725804301256,"Read from DynamoDB table executed in 10 ms
",2024/09/08/[$LATEST]b99ef126f8d240dfb4e8f0fe5dde9f26
1725804301276,"Read from DynamoDB table executed in 22 ms
",2024/09/08/[$LATEST]59a505b33094462ab99d7fec51bb6024
1725804301619,"Read from DynamoDB table executed in 13 ms
",2024/09/08/[$LATEST]b99ef126f8d240dfb4e8f0fe5dde9f26
1725804308779,"Read from DynamoDB table executed in 8 ms
",2024/09/08/[$LATEST]b99ef126f8d240dfb4e8f0fe5dde9f26
1725804309205,"Read from DynamoDB table executed in 6 ms
",2024/09/08/[$LATEST]b99ef126f8d240dfb4e8f0fe5dde9f26
1725804309221,"Read from DynamoDB table executed in 22 ms
",2024/09/08/[$LATEST]59a505b33094462ab99d7fec51bb6024
1725804309697,"Read from DynamoDB table executed in 15 ms
",2024/09/08/[$LATEST]59a505b33094462ab99d7fec51bb6024
1725804309701,"Read from DynamoDB table executed in 6 ms
",2024/09/08/[$LATEST]b99ef126f8d240dfb4e8f0fe5dde9f26
1725804310148,"Read from DynamoDB table executed in 7 ms
",2024/09/08/[$LATEST]b99ef126f8d240dfb4e8f0fe5dde9f26
1725804310156,"Read from DynamoDB table executed in 6 ms
",2024/09/08/[$LATEST]59a505b33094462ab99d7fec51bb6024
1725804310609,"Read from DynamoDB table executed in 5 ms
",2024/09/08/[$LATEST]59a505b33094462ab99d7fec51bb6024
1725804310613,"Read from DynamoDB table executed in 11 ms
",2024/09/08/[$LATEST]b99ef126f8d240dfb4e8f0fe5dde9f26
1725804310995,"Read from DynamoDB table executed in 6 ms
",2024/09/08/[$LATEST]59a505b33094462ab99d7fec51bb6024
1725804314016,"Read from DynamoDB table executed in 7 ms
",2024/09/08/[$LATEST]59a505b33094462ab99d7fec51bb6024
1725804314412,"Read from DynamoDB table executed in 5 ms
",2024/09/08/[$LATEST]59a505b33094462ab99d7fec51bb6024
1725804314430,"Read from DynamoDB table executed in 7 ms
",2024/09/08/[$LATEST]b99ef126f8d240dfb4e8f0fe5dde9f26
1725804314817,"Read from DynamoDB table executed in 8 ms
",2024/09/08/[$LATEST]59a505b33094462ab99d7fec51bb6024
1725804314849,"Read from DynamoDB table executed in 6 ms
",2024/09/08/[$LATEST]59a505b33094462ab99d7fec51bb6024
