"timestamp [UTC]",message,severityLevel,itemType,customDimensions,customMeasurements,"operation_Name","operation_Id","operation_ParentId","operation_SyntheticSource","session_Id","user_Id","user_AuthenticatedId","user_AccountId","application_Version","client_Type","client_Model","client_OS","client_IP","client_City","client_StateOrProvince","client_CountryOrRegion","client_Browser","cloud_RoleName","cloud_RoleInstance",appId,appName,iKey,sdkVersion,itemId,itemCount,"_ResourceId"
"7/9/2024, 16:36:16.090","2024/09/07 16:36:16 Read from CosmosDB table executed in 205 ms",3,trace,"{""Category"":""Host.Function.Console"",""LogLevel"":""Error"",""ProcessId"":""6516"",""prop__{OriginalFormat}"":""2024/09/07 16:36:16 Read from CosmosDB table executed in 205 ms"",""HostInstanceId"":""f365283b-1c49-4d46-bc77-87bea695a829""}",,,,,,,,,,,PC,,,"0.0.0.0",,,,,"ddi-first-architecture-go3",b0a70f67dde74f4ddd92e8348eac767f135117fe94553c4e3dc700f4debd14e6,"308a1c21-fe41-483e-925a-536804576f8f","/subscriptions/c61afb27-28af-4b00-aeb0-a2d8c78e86ef/resourcegroups/ddi/providers/microsoft.insights/components/ddi-first-architecture-go3","8a9f7f28-729c-47b0-babf-2bcf89bc29db","azurefunctions: 4.34.2.22820","707bb846-6d37-11ef-b23d-6045bdf89bb7",1,"/subscriptions/c61afb27-28af-4b00-aeb0-a2d8c78e86ef/resourcegroups/ddi/providers/microsoft.insights/components/ddi-first-architecture-go3"
"7/9/2024, 16:36:17.201","2024/09/07 16:36:17 Read from CosmosDB table executed in 16 ms",3,trace,"{""Category"":""Host.Function.Console"",""LogLevel"":""Error"",""ProcessId"":""6516"",""prop__{OriginalFormat}"":""2024/09/07 16:36:17 Read from CosmosDB table executed in 16 ms"",""HostInstanceId"":""f365283b-1c49-4d46-bc77-87bea695a829""}",,,,,,,,,,,PC,,,"0.0.0.0",,,,,"ddi-first-architecture-go3",b0a70f67dde74f4ddd92e8348eac767f135117fe94553c4e3dc700f4debd14e6,"308a1c21-fe41-483e-925a-536804576f8f","/subscriptions/c61afb27-28af-4b00-aeb0-a2d8c78e86ef/resourcegroups/ddi/providers/microsoft.insights/components/ddi-first-architecture-go3","8a9f7f28-729c-47b0-babf-2bcf89bc29db","azurefunctions: 4.34.2.22820","707bb84b-6d37-11ef-b23d-6045bdf89bb7",1,"/subscriptions/c61afb27-28af-4b00-aeb0-a2d8c78e86ef/resourcegroups/ddi/providers/microsoft.insights/components/ddi-first-architecture-go3"
"7/9/2024, 16:36:18.206","2024/09/07 16:36:18 Read from CosmosDB table executed in 16 ms",3,trace,"{""Category"":""Host.Function.Console"",""LogLevel"":""Error"",""ProcessId"":""6516"",""prop__{OriginalFormat}"":""2024/09/07 16:36:18 Read from CosmosDB table executed in 16 ms"",""HostInstanceId"":""f365283b-1c49-4d46-bc77-87bea695a829""}",,,,,,,,,,,PC,,,"0.0.0.0",,,,,"ddi-first-architecture-go3",b0a70f67dde74f4ddd92e8348eac767f135117fe94553c4e3dc700f4debd14e6,"308a1c21-fe41-483e-925a-536804576f8f","/subscriptions/c61afb27-28af-4b00-aeb0-a2d8c78e86ef/resourcegroups/ddi/providers/microsoft.insights/components/ddi-first-architecture-go3","8a9f7f28-729c-47b0-babf-2bcf89bc29db","azurefunctions: 4.34.2.22820","707bb850-6d37-11ef-b23d-6045bdf89bb7",1,"/subscriptions/c61afb27-28af-4b00-aeb0-a2d8c78e86ef/resourcegroups/ddi/providers/microsoft.insights/components/ddi-first-architecture-go3"
"7/9/2024, 16:36:19.218","2024/09/07 16:36:19 Read from CosmosDB table executed in 16 ms",3,trace,"{""Category"":""Host.Function.Console"",""LogLevel"":""Error"",""ProcessId"":""6516"",""prop__{OriginalFormat}"":""2024/09/07 16:36:19 Read from CosmosDB table executed in 16 ms"",""HostInstanceId"":""f365283b-1c49-4d46-bc77-87bea695a829""}",,,,,,,,,,,PC,,,"0.0.0.0",,,,,"ddi-first-architecture-go3",b0a70f67dde74f4ddd92e8348eac767f135117fe94553c4e3dc700f4debd14e6,"308a1c21-fe41-483e-925a-536804576f8f","/subscriptions/c61afb27-28af-4b00-aeb0-a2d8c78e86ef/resourcegroups/ddi/providers/microsoft.insights/components/ddi-first-architecture-go3","8a9f7f28-729c-47b0-babf-2bcf89bc29db","azurefunctions: 4.34.2.22820","707bb855-6d37-11ef-b23d-6045bdf89bb7",1,"/subscriptions/c61afb27-28af-4b00-aeb0-a2d8c78e86ef/resourcegroups/ddi/providers/microsoft.insights/components/ddi-first-architecture-go3"
"7/9/2024, 16:36:20.188","2024/09/07 16:36:20 Read from CosmosDB table executed in 16 ms",3,trace,"{""Category"":""Host.Function.Console"",""LogLevel"":""Error"",""ProcessId"":""6516"",""prop__{OriginalFormat}"":""2024/09/07 16:36:20 Read from CosmosDB table executed in 16 ms"",""HostInstanceId"":""f365283b-1c49-4d46-bc77-87bea695a829""}",,,,,,,,,,,PC,,,"0.0.0.0",,,,,"ddi-first-architecture-go3",b0a70f67dde74f4ddd92e8348eac767f135117fe94553c4e3dc700f4debd14e6,"308a1c21-fe41-483e-925a-536804576f8f","/subscriptions/c61afb27-28af-4b00-aeb0-a2d8c78e86ef/resourcegroups/ddi/providers/microsoft.insights/components/ddi-first-architecture-go3","8a9f7f28-729c-47b0-babf-2bcf89bc29db","azurefunctions: 4.34.2.22820","707bb85a-6d37-11ef-b23d-6045bdf89bb7",1,"/subscriptions/c61afb27-28af-4b00-aeb0-a2d8c78e86ef/resourcegroups/ddi/providers/microsoft.insights/components/ddi-first-architecture-go3"
"7/9/2024, 16:36:21.236","2024/09/07 16:36:21 Read from CosmosDB table executed in 12 ms",3,trace,"{""Category"":""Host.Function.Console"",""LogLevel"":""Error"",""ProcessId"":""6516"",""prop__{OriginalFormat}"":""2024/09/07 16:36:21 Read from CosmosDB table executed in 12 ms"",""HostInstanceId"":""f365283b-1c49-4d46-bc77-87bea695a829""}",,,,,,,,,,,PC,,,"0.0.0.0",,,,,"ddi-first-architecture-go3",b0a70f67dde74f4ddd92e8348eac767f135117fe94553c4e3dc700f4debd14e6,"308a1c21-fe41-483e-925a-536804576f8f","/subscriptions/c61afb27-28af-4b00-aeb0-a2d8c78e86ef/resourcegroups/ddi/providers/microsoft.insights/components/ddi-first-architecture-go3","8a9f7f28-729c-47b0-babf-2bcf89bc29db","azurefunctions: 4.34.2.22820","707bb85f-6d37-11ef-b23d-6045bdf89bb7",1,"/subscriptions/c61afb27-28af-4b00-aeb0-a2d8c78e86ef/resourcegroups/ddi/providers/microsoft.insights/components/ddi-first-architecture-go3"
"7/9/2024, 16:36:22.118","2024/09/07 16:36:22 Read from CosmosDB table executed in 16 ms",3,trace,"{""Category"":""Host.Function.Console"",""LogLevel"":""Error"",""ProcessId"":""6516"",""prop__{OriginalFormat}"":""2024/09/07 16:36:22 Read from CosmosDB table executed in 16 ms"",""HostInstanceId"":""f365283b-1c49-4d46-bc77-87bea695a829""}",,,,,,,,,,,PC,,,"0.0.0.0",,,,,"ddi-first-architecture-go3",b0a70f67dde74f4ddd92e8348eac767f135117fe94553c4e3dc700f4debd14e6,"308a1c21-fe41-483e-925a-536804576f8f","/subscriptions/c61afb27-28af-4b00-aeb0-a2d8c78e86ef/resourcegroups/ddi/providers/microsoft.insights/components/ddi-first-architecture-go3","8a9f7f28-729c-47b0-babf-2bcf89bc29db","azurefunctions: 4.34.2.22820","707bb864-6d37-11ef-b23d-6045bdf89bb7",1,"/subscriptions/c61afb27-28af-4b00-aeb0-a2d8c78e86ef/resourcegroups/ddi/providers/microsoft.insights/components/ddi-first-architecture-go3"
"7/9/2024, 16:36:23.158","2024/09/07 16:36:23 Read from CosmosDB table executed in 6 ms",3,trace,"{""Category"":""Host.Function.Console"",""LogLevel"":""Error"",""ProcessId"":""6516"",""prop__{OriginalFormat}"":""2024/09/07 16:36:23 Read from CosmosDB table executed in 6 ms"",""HostInstanceId"":""f365283b-1c49-4d46-bc77-87bea695a829""}",,,,,,,,,,,PC,,,"0.0.0.0",,,,,"ddi-first-architecture-go3",b0a70f67dde74f4ddd92e8348eac767f135117fe94553c4e3dc700f4debd14e6,"308a1c21-fe41-483e-925a-536804576f8f","/subscriptions/c61afb27-28af-4b00-aeb0-a2d8c78e86ef/resourcegroups/ddi/providers/microsoft.insights/components/ddi-first-architecture-go3","8a9f7f28-729c-47b0-babf-2bcf89bc29db","azurefunctions: 4.34.2.22820","707bb869-6d37-11ef-b23d-6045bdf89bb7",1,"/subscriptions/c61afb27-28af-4b00-aeb0-a2d8c78e86ef/resourcegroups/ddi/providers/microsoft.insights/components/ddi-first-architecture-go3"
"7/9/2024, 16:36:24.155","2024/09/07 16:36:24 Read from CosmosDB table executed in 11 ms",3,trace,"{""Category"":""Host.Function.Console"",""LogLevel"":""Error"",""ProcessId"":""6516"",""prop__{OriginalFormat}"":""2024/09/07 16:36:24 Read from CosmosDB table executed in 11 ms"",""HostInstanceId"":""f365283b-1c49-4d46-bc77-87bea695a829""}",,,,,,,,,,,PC,,,"0.0.0.0",,,,,"ddi-first-architecture-go3",b0a70f67dde74f4ddd92e8348eac767f135117fe94553c4e3dc700f4debd14e6,"308a1c21-fe41-483e-925a-536804576f8f","/subscriptions/c61afb27-28af-4b00-aeb0-a2d8c78e86ef/resourcegroups/ddi/providers/microsoft.insights/components/ddi-first-architecture-go3","8a9f7f28-729c-47b0-babf-2bcf89bc29db","azurefunctions: 4.34.2.22820","707bb86e-6d37-11ef-b23d-6045bdf89bb7",1,"/subscriptions/c61afb27-28af-4b00-aeb0-a2d8c78e86ef/resourcegroups/ddi/providers/microsoft.insights/components/ddi-first-architecture-go3"
"7/9/2024, 16:36:25.190","2024/09/07 16:36:25 Read from CosmosDB table executed in 8 ms",3,trace,"{""Category"":""Host.Function.Console"",""LogLevel"":""Error"",""ProcessId"":""6516"",""prop__{OriginalFormat}"":""2024/09/07 16:36:25 Read from CosmosDB table executed in 8 ms"",""HostInstanceId"":""f365283b-1c49-4d46-bc77-87bea695a829""}",,,,,,,,,,,PC,,,"0.0.0.0",,,,,"ddi-first-architecture-go3",b0a70f67dde74f4ddd92e8348eac767f135117fe94553c4e3dc700f4debd14e6,"308a1c21-fe41-483e-925a-536804576f8f","/subscriptions/c61afb27-28af-4b00-aeb0-a2d8c78e86ef/resourcegroups/ddi/providers/microsoft.insights/components/ddi-first-architecture-go3","8a9f7f28-729c-47b0-babf-2bcf89bc29db","azurefunctions: 4.34.2.22820","707bb873-6d37-11ef-b23d-6045bdf89bb7",1,"/subscriptions/c61afb27-28af-4b00-aeb0-a2d8c78e86ef/resourcegroups/ddi/providers/microsoft.insights/components/ddi-first-architecture-go3"
